All_Info
"7 December 1964:  A-4C Skyhawk; Ser # unknown; USMC; Detachment T, VMA-223; USS Yorktown"
9 December 1964:  RA-5C Vigilante; Ser # 149306; USN; RVAH-5; USS Ranger
"27 December 1964:  A-3B Skywarrior; Ser # 142250; USN; Detachment L, VAH-4; USS Hancock"
30 December 1964:  A-4C Skyhawk; Ser # 149625; USN; VA-216; USS Hancock
31 December 1964:  O-1F Bird Dog; Ser # 57-2823; USAF; 366 TFS; Da Nang
"2 January 1965:  F-100D Super Sabre; Ser # 56-2908; USAF; 428 TFS, 474 TFW on TDY; Takhli"
"12 January 1965:  O-1F Bird Dog; Ser # 55-4712; USAF; 19 TASS, 34 TG; Bien Hoa"
"13 January 1965:  F-100D Super Sabre; Ser # 56-3351; USAF; probably 613 TFS, 401 TFW on TDY; Da Nang"
"13 January 1965:  F-105D Thunderchief; Ser # 62-4296; USAF; 44 or 67 TFS, 18 TFW attached to 6234 TFW; Korat"
13 January 1965:  F-8C Crusader; Ser # 147011; USN; VF-24; USS Hancock
"15 January 1965:  O-1F Bird Dog; Ser # 57-2806; USAF; 19 TASS, 34 TG; Bien Hoa"
"27 January 1965:  A-1E Skyraider; Ser # 52-132666; USAF; 1 ACS, 34 TG; Bien Hoa"
7 February 1965:  A-4E Skyhawk; Ser # 150075; USN; VA-155; USS Coral Sea
"10 February 1965:  A-1E Skyraider; Ser # 52-132401; USAF; 1 ACS, 34 TG; Bien Hoa"
11 February 1965:  A-4C Skyhawk; Ser # 149572; USN; VA-153; USS Coral Sea
11 February 1965:  F-8D Crusader; Ser # 148633; USN; VF-154; USS Coral Sea
"19 February 1965:  F-100D Super Sabre; Ser # 55-3783; USAF; 613 TFS, 401 TFW on TDY; Da Nang"
21 February 1965:  F-8E Crusader; Ser # 150897; USN; VF-211; USS Hancock
"24 February 1965:  A-1E Skyraider; Ser # 52-132471; USAF; 1 ACS, 34 TG; Bien Hoa"
24 February 1965:  A-3B Skywarrior; Ser # 147664; USN; VAH-2; USS Coral Sea
"2 March 1965:  F-105D Thunderchief; Ser # 61-0214; USAF; 67 TFS, 18 TFW attached to 6234 TFW; Korat"
"2 March 1965:  F-100D Super Sabre; Ser # 56-3150; USAF; 428 TFS, 474 TFW on TDY; Takhli"
"2 March 1965:  F-105D Thunderchief; Ser # 62-4260; USAF; 67 TFS, 18 TFW attached to 6234 TFW; Korat"
"2 March 1965:  F-100D Super Sabre; Ser # 55-2857; USAF; 613 TFS, 401 TFW on TDY; Da Nang"
"2 March 1965:  F-105D Thunderchief; Ser # 62-4325; USAF; TFS, 18 TFW attached to 6234 TFW; Korat"
3 March 1965:  A-4C Skyhawk; Ser # 149612; USN; VA-216; USS Hancock
"6 March 1965:  A-1E Skyraider; Ser # 52-135005; USAF; 1 ACS, 34 TG; Bien Hoa"
"9 March 1965:  O-1F Bird Dog; Ser # 55-4719; USAF; 19 TASS, 34 TG; Bien Hoa"
"11 March 1965:  B-57B Canberra; Ser # 53-3890; USAF; 8 TBS, 405 FW attached to 34 TG; Bien Hoa"
15 March 1965:  A-1H Skyraider; Ser # 135375; USN; VA-95; USS Ranger
"21 March 1965:  A-1E Skyraider; Ser # 52-132649; USAF; 1 ACS, 34 TG; Bien Hoa"
